Fuel Type Code,Station Name,Street Address,City,State,Status Code,Groups With Access Code,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,ID,Updated At,Open Date,EV Connector Types,Country,Access Code,Facility Type,EV Pricing,Restricted Access
ELEC,Port Authority Bus Terminal,625 8th Ave,New York,NY,E,Public,2.0,0.0,EV Connect,http://evconnect.com/,200-8,40.756177,-73.990558,65287,2021-03-11 23:22:17 UTC,2018-04-01,J1772,US,public,PARKING_GARAGE,Sin Dato,False
ELEC,United Parcel Service,643 W 43rd St,New York,NY,E,Private,2.0,0.0,Non-Networked,Sin Dato,200-8,40.762442,-74.000055,74648,2022-06-14 16:24:51 UTC,2016-03-01,J1772,US,private,FLEET_GARAGE,Sin Dato,True
ELEC,Spectrum,401 W 219th St,New York,NY,E,Public,8.0,0.0,EV Connect,http://evconnect.com/,200-8,40.87121,-73.911616,94854,2022-04-28 20:01:31 UTC,2016-06-27,J1772,US,public,OFFICE_BLDG,Sin Dato,True
ELEC,Central Parking - Tower 31,9 W 31st Street,New York,NY,E,Public,1.0,0.0,Blink Network,http://www.blinkcharging.com/,GPS,40.747098,-73.986641,95069,2022-07-24 22:55:19 UTC,2014-08-20,J1772,US,public,Sin Dato,Level 2: $0.59 per kWh,False
ELEC,Tribeca Park,400 Chambers St,New York,NY,E,Private,2.0,0.0,Blink Network,http://www.blinkcharging.com/,GPS,40.717717,-74.015049,96646,2022-07-24 22:55:19 UTC,2014-11-12,J1772,US,private,Sin Dato,Level 2: $0.59 per kWh,True
ELEC,Environmental Protection Agency,290 Broadway,New York,NY,E,Private,5.0,0.0,Non-Networked,Sin Dato,GPS,40.714723,-74.005143,98674,2021-03-11 23:22:17 UTC,2018-04-01,J1772,US,private,FED_GOV,Sin Dato,True
ELEC,Mott Street Parking - Tesla Supercharger,106 Mott Street,New York,NY,E,Public,Sin Dato,2.0,Tesla,https://www.tesla.com/supercharger,200-9,40.717522,-73.997302,102334,2021-11-04 18:37:47 UTC,2018-07-23,TESLA,US,public,Sin Dato,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,False
ELEC,W 75th Parking Garage - Tesla Supercharger,201 W 75th Street,New York,NY,E,Public,Sin Dato,4.0,Tesla,https://www.tesla.com/supercharger,200-8,40.780976,-73.980414,102335,2021-11-04 18:37:47 UTC,2018-07-23,TESLA,US,public,Sin Dato,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,False
ELEC,E 47th Street - Tesla Supercharger,212 East 47th Street,New York,NY,E,Public,Sin Dato,4.0,Tesla,https://www.tesla.com/supercharger,200-9,40.753356,-73.971685,102336,2021-11-04 18:37:47 UTC,2018-07-23,TESLA,US,public,Sin Dato,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,False
ELEC,MPG 10 E 102nd Street - Tesla Destination,10 E 102nd St,New York,NY,E,Public,3.0,0.0,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.791232,-73.95237,114983,2021-03-11 23:22:17 UTC,2017-09-01,J1772 TESLA,US,public,PAY_GARAGE,Free,False
